WSL2_GUI_APPS_ENABLED=1,59413,comb,261378,5,0,3773.7,28072,28072,NULL,NULL
BASH_ENV=/etc/bash.bashrc,59413,comb,261378,5,0,2708.04,28072,28072,NULL,NULL
DBUS_SESSION_BUS_ADDRESS=unix:path=/run/user/1000/bus,59413,comb,261378,5,32114871,2708.01,28072,28072,NULL,NULL
WAYLAND_DISPLAY=wayland-0,59413,comb,261378,6,845334436,11718.4,28072,28072,NULL,NULL
BASH_ENV=/etc/bash.bashrc,59413,comb,261378,6,0,17346.7,28072,28072,NULL,NULL
SHELL=/usr/bin/zsh,59413,comb,261378,6,2910199,11334.1,28072,28072,NULL,NULL
WSLENV=BASH_ENV/u,59413,comb,261378,6,2910199,11636.9,28072,28072,NULL,NULL
OLDPWD=/home/qsl/exp/KPC/cmake-build-debug,59413,comb,261378,5,32114871,11214,28072,28072,NULL,NULL
WSL_INTEROP=/run/WSL/23396_interop,59413,comb,261378,5,32114871,11268.4,28072,28072,NULL,NULL
HOSTTYPE=x86_64,59413,comb,261378,6,2910199,11569.4,28072,28072,NULL,NULL
SHELL=/usr/bin/zsh,59413,comb,261378,6,842424237,244950,28072,28072,NULL,NULL
USER=qsl,59413,comb,261378,6,2910199,11399.5,28072,28072,NULL,NULL
DISPLAY=:0,59413,comb,261378,6,2910199,11331.9,28072,28072,NULL,NULL
LOGNAME=qsl,59413,comb,261378,6,2910199,11333,28072,28072,NULL,NULL
WSL_DISTRO_NAME=Ubuntu-20.04,59413,comb,261378,6,2910199,11388,28072,28072,NULL,NULL
WAYLAND_DISPLAY=wayland-0,59413,comb,261378,6,842424237,12934.5,28072,28072,NULL,NULL
comb,1622925968,5,14145.4,781252,781252,NULL,NULL,NULL,NULL,NULL
comb,1622925968,4,14133.7,781252,781252,NULL,NULL,NULL,NULL,NULL
WAYLAND_DISPLAY=wayland-0,454,base2,43536,5,76164,43051.8,781436,781436,0,0

PULSE_SERVER=unix:/mnt/wslg/PulseServer,comb,8921,38866,6,118933,790.924,21728,21728
HOME=/home/qsl,comb,8921,38866,5,3149020,1272.08,21728,21728
OLDPWD=/home/qsl/exp/KPC/cmake-build-debug,comb,8921,38866,5,3149020,719.681,21728,21728
USER=qsl,comb,8921,38866,5,3149020,733.279,21728,21728
WSL2_GUI_APPS_ENABLED=1,comb,8921,38866,5,3149020,87.768,21728,21728
DBUS_SESSION_BUS_ADDRESS=unix:path=/run/user/1000/bus,comb,8921,38866,7,1853364706,21255.7,21728,21728
WAYLAND_DISPLAY=wayland-0,comb,8921,38866,7,1853364706,21329.5,21728,21728
HOSTTYPE=x86_64,base2,475,50936,8,11703,1213.55,781252,781252,1,2
SHLVL=0,base2,475,50936,8,11703,471.243,781252,781252,1,2
